gene,143BN_BB_1,143BN_BB_1.father,143BN_BB_1.mother,change,167BZ_SP_1,167BZ_SP_1.father,167BZ_SP_1.mother,change,179CI_GG_1,179CI_GG_1.father,179CI_GG_1.mother,change,297EW_BP_1,297EW_BP_1.father,297EW_BP_1.mother,change,59R_AM_1,59R_AM_1.father,59R_AM_1.mother,change
AC008132.1,2,2,1,SAME,2,2,1,SAME,2,2,1,SAME,2,2,1,SAME,2,2,2,SAME
AC104057.1,1,0,0,NEw,2,0,2,SAME,1,3,3,DECREASE,3,2,1,INCREASE,2,0,1,INCREASE
AC104667.3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,2,SAME
AC139768.1,0,0,0,NA,0,0,0,NA,1,0,1,SAME,1,1,1,SAME,0,0,0,NA
ADCY1,1,2,0,SAME,2,2,2,SAME,2,2,2,SAME,2,2,1,SAME,2,2,2,SAME
ADRA2B,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
AGAP3,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
AL138781.1,0,0,0,NA,2,2,2,SAME,0,0,0,NA,1,0,0,NEw,1,0,0,NEw
AL138815.2,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
AL445989.1,1,1,1,SAME,1,1,1,SAME,0,0,0,NA,2,1,0,INCREASE,1,1,1,SAME
AL589765.1,0,0,0,NA,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,0,0,0,NA
ALK,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
ANKRD30A,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
ANKRD30B,1,1,0,SAME,2,2,1,SAME,2,2,0,SAME,1,3,0,SAME,0,0,0,NA
ANKRD36,1,1,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
ANKRD36C,2,2,2,SAME,2,2,2,SAME,1,1,1,SAME,2,2,1,SAME,1,1,0,SAME
AP003733.1,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,0,NEw
APTX,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
AQP7,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
AQPEP,1,1,1,SAME,1,0,1,SAME,1,1,0,SAME,0,0,0,NA,0,0,0,NA
ARHGEF5,1,1,1,SAME,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
ARMCX4,2,2,1,SAME,0,0,0,NA,0,0,0,NA,1,0,2,SAME,3,1,0,INCREASE
ARSD,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
ASXL3,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
ATXN3,1,2,1,SAME,2,1,2,SAME,1,2,1,SAME,2,1,2,SAME,2,2,2,SAME
B3GNT3,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
BAIAP2L2,0,0,0,NA,0,0,0,NA,1,1,2,SAME,0,0,0,NA,1,1,1,SAME
BRD4,1,0,0,NEw,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
BTBD7,1,0,1,SAME,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,1,SAME
C10orf107,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,0,0,NEw
C16orf3,1,0,0,NEw,2,0,0,NEw,1,0,1,SAME,0,0,0,NA,0,0,0,NA
C16orf52,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
C8orf58,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
C9orf85,0,0,0,NA,2,3,0,SAME,1,0,0,NEw,1,2,1,SAME,2,3,0,SAME
CACNA1B,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,2,1,SAME,1,1,1,SAME
CASKIN2,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
CBS,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
CCDC40,0,0,0,NA,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,0,0,0,NA
CCDC66,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME
CD22,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,0,NEw
CELA1,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA,1,0,1,SAME
CEP89,2,2,1,SAME,2,2,2,SAME,2,1,2,SAME,2,1,2,SAME,2,2,1,SAME
CHIT1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,2,SAME
CHL1,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
CHRM4,0,0,0,NA,2,2,1,SAME,2,0,2,SAME,1,1,0,SAME,0,0,0,NA
CIDEA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,1,0,INCREASE
CNOT6L,1,1,1,SAME,1,0,0,NEw,0,0,0,NA,1,1,1,SAME,1,0,1,SAME
CNTN5,1,1,1,SAME,1,1,0,SAME,1,1,1,SAME,1,1,1,SAME,0,0,0,NA
CRIP3,2,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
CRTC1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
CTB-78H18.1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
CTBP2,2,1,1,INCREASE,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,1,1,3,SAME
CTD-2105E13.6,2,0,1,INCREASE,1,0,0,NEw,1,1,0,SAME,1,1,2,SAME,0,0,0,NA
CYP24A1,1,0,2,SAME,0,0,0,NA,0,0,0,NA,1,2,2,DECREASE,2,0,2,SAME
DCAF15,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
DGKQ,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
DMKN,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,2,SAME,0,0,0,NA
DNAH12,1,1,1,SAME,1,1,1,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME
DNAH7,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
DNHD1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
DOC2A,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
DOCK8,1,1,1,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,0,0,0,NA
DPCR1,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
DSPP,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
DUX4L4,2,1,1,INCREASE,2,3,4,DECREASE,2,2,1,SAME,2,4,1,SAME,0,0,0,NA
DYNAP,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
ENTPD1,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
EPPK1,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,3,2,SAME,2,2,2,SAME
ESPN,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
EVL,1,0,0,NEw,0,0,0,NA,1,0,0,NEw,1,0,1,SAME,1,0,1,SAME
FADS6,1,2,2,DECREASE,1,1,1,SAME,1,1,2,SAME,1,1,1,SAME,1,1,1,SAME
FAM101A,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
FAM117B,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
FAM20C,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
FAM230A,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
FAM46A,2,0,2,SAME,1,0,1,SAME,2,2,0,SAME,0,0,0,NA,0,0,0,NA
FAM8A1,0,0,0,NA,0,0,0,NA,1,0,3,SAME,0,0,0,NA,1,2,0,SAME
FBRS,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,1,SAME,1,0,1,SAME
FBXL8,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
FGF20,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,2,SAME,2,0,1,INCREASE
FHAD1,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
FHOD3,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
FNDC1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
FOXO6,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
FRG1B,0,0,0,NA,1,0,1,SAME,1,3,1,SAME,1,0,4,SAME,0,0,0,NA
FRMPD3,2,2,3,SAME,4,3,2,INCREASE,3,2,2,INCREASE,4,4,1,SAME,2,4,4,DECREASE
FSTL4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
GBP4,0,0,0,NA,0,0,0,NA,1,0,1,SAME,1,1,0,SAME,0,0,0,NA
GDF7,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
GLTSCR1,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
GOLGA6L2,4,3,1,INCREASE,1,2,1,SAME,1,1,3,SAME,1,1,2,SAME,2,2,2,SAME
GPRIN1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME
GPRIN2,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
GRIN2C,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
GRIN3B,0,0,0,NA,1,0,0,NEw,2,1,1,INCREASE,0,0,0,NA,0,0,0,NA
GXYLT1,1,2,2,DECREASE,1,2,0,SAME,1,2,1,SAME,1,1,2,SAME,1,2,1,SAME
HAUS4,1,0,0,NEw,0,0,0,NA,1,0,1,SAME,1,1,1,SAME,0,0,0,NA
HLA-A,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
HLA-DQA1,2,0,2,SAME,0,0,0,NA,1,2,2,DECREASE,0,0,0,NA,2,2,2,SAME
HLA-DRB1,3,1,2,INCREASE,0,0,0,NA,1,2,0,SAME,0,0,0,NA,2,2,4,SAME
HLA-DRB5,2,1,1,INCREASE,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,2,SAME
HNRNPCL1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
HNRNPM,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
HRCT1,1,0,1,SAME,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
HRNR,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
HSF1,1,0,0,NEw,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,0,0,0,NA
ICOSLG,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,1,1,0,SAME
IGHV1-3,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
IGHV5-51,1,1,0,SAME,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,1,1,1,SAME
INO80E,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
INPP5E,0,0,0,NA,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA
INTS1,1,1,1,SAME,2,1,1,INCREASE,1,1,2,SAME,1,1,1,SAME,1,1,1,SAME
IQGAP1,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,0,NEw,0,0,0,NA
IQSEC2,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
IRF5,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
JMY,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
KCNN3,1,1,0,SAME,1,1,1,SAME,0,0,0,NA,1,0,0,NEw,0,0,0,NA
KCTD1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
KDM4B,1,1,1,SAME,1,1,0,SAME,0,0,0,NA,1,0,1,SAME,0,0,0,NA
KDM6B,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
KIAA0430,1,2,1,SAME,2,2,2,SAME,2,1,2,SAME,2,2,2,SAME,2,2,2,SAME
KIAA1211,1,1,0,SAME,0,0,0,NA,0,0,0,NA,2,2,0,SAME,0,0,0,NA
KMT2E,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
KRT4,1,2,1,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,1,1,2,SAME
KRT77,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP1-3,0,0,0,NA,1,0,2,SAME,0,0,0,NA,1,2,0,SAME,2,0,2,SAME
KRTAP10-6,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP4-5,1,0,0,NEw,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,0,1,SAME
KRTAP4-7,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,1,0,0,NEw
KRTAP5-10,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP5-5,0,0,0,NA,1,0,0,NEw,2,2,1,SAME,1,2,1,SAME,0,0,0,NA
KRTAP5-7,0,0,0,NA,1,0,1,SAME,1,2,2,DECREASE,1,2,1,SAME,2,2,2,SAME
KRTAP5-8,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
